Building IRN,Building Name,District IRN,District Name,County,Street address,City and Zip code,Phone #,Principal,Grade Span,Open/Closed Status,Designation,Number of standards met,Number of standards possible,Enrollment,Attendance 2005-06,Performance Index Score 2005-06
000026,Albert B Hart  School,043786,Cleveland Municipal,Cuyahoga,3901 E 74th St,"Cleveland, Ohio  44105-3808",(216) 341-0874,Ann M. Strohmeyer,K-8,Open,Academic Emergency,0,14,524,86.5,64.3
000059,Ada Elementary School,045187,Ada,Hardin,435 Grand Ave,"Ada, Ohio  45810-1013",(419) 634-2341,Tim A. Closson,K-6,Open,Effective,8,10,425,95.9,97.3
000067,Ada High School,045187,Ada,Hardin,435 Grand Ave,"Ada, Ohio  45810-1013",(419) 634-2746,Dennis Bahmer,7-12,Open,Effective,14,16,389,95.0,98.7
000083,Adams Junior High School,044743,Sandusky,Erie,318 Columbus Ave,"Sandusky, Ohio  44870-2616",(419) 621-2810,Robert L. Toney,7,Open,Continuous Improvement,1,3,334,95.6,82.7
000091,Adams Elementary School,044107,Hamilton,Butler,450 S F St,"Hamilton, Ohio  45013-3245",(513) 887-5065,Pamela J. Rowe,K-6,Open,Effective,7,10,527,95.5,94.5
000102,Meigs Primary School,048520,Meigs,Meigs,36871 State Route 124,"Middleport, Ohio  45760-9717",(740) 742-3000,Anthony Deem,K-2,Open,NC,1,1,485,93.2,
000105,Meigs Intermediate School,048520,Meigs,Meigs,36871 State Route 124,"Middleport, Ohio  45760-9717",(740) 742-2666,Rusty D. Bookman,3-5,Open,Continuous Improvement,2,8,424,94.2,87.1
000116,Hamilton Freshman School,044107,Hamilton,Butler,2260 NW Washington Blvd.,"Hamilton, Ohio  45013",,J Gregory G. Rulon,9,Open,NC,1,1,569,93.7,
000117,Adamsville Elementary School,048876,Tri-Valley Local Schools,Muskingum,7950 East St,"Adamsville, Ohio  43802-9024",(740) 796-2153,Ivan S. Wilson,K-6,Open,Effective,5,10,286,96.0,92.5
000118,Hamilton Intermediate School,046953,Hamilton Local Schools,Franklin,5132 Parsons Ave,"Lockbourne, Ohio  43137-9216",(614) 492-1047,James M. Meade,4-6,Open,Continuous Improvement,4,8,660,94.5,88.1
000119,Oak Hill Middle/High School,047761,Oak Hill Union Local,Jackson,5063 State Route 93,"Oak Hill, Ohio  45656-9408",(740) 682-7055,Regina A. Boggs,6-12,Open,Effective,10,18,656,93.7,93.7
000120,Brigadoon Academy Community School,000120,Brigadoon Academy Community School,,2238 Jefferson Ave,"Toledo, Ohio  43624-1120",(419) 720-4523,Earl W. Apgar,K-12,Open,Academic Emergency,1,8,249,60.4,39.3
000124,Oak Hill Elementary,047761,Oak Hill Union Local,Jackson,401 Evans St,"Oak Hill, Ohio  45656-1131",(740) 682-7096,Marilyn S. Boggs,K-5,Open,Effective,7,8,623,94.6,92.2
000125,Polly Fox Academy Community School,000125,Polly Fox Academy Community School,,2238 Jefferson Ave,"Toledo, Ohio  43624-1120",(419) 720-4500,Earl W. Apgar,7-12,Open,Academic Watch,2,6,140,61.6,54.5
000130,Phoenix Academy Community School,000130,Phoenix Academy Community School,,2238 Jefferson Ave,"Toledo, Ohio  43624-1120",(419) 720-4500,Earl W. Apgar,7-12,Open,Academic Emergency,1,7,771,42.1,35
000131,Glass City Academy,000131,Glass City Academy,,2275 Collingwood Blvd,"Toledo, Ohio  43620-1148",(419) 720-6311,,11-12,Open,Continuous Improvement,0,6,221,58.2,0
000132,Minster Community School,045948,Minster,Auglaize,100 E 7th St,"Minster, Ohio  45865-1080",(419) 628-3397,,1-6,Open,Excellent,10,10,134,97.5,106.5
000135,South Vienna Middle School,046250,Northeastern,Clark,140 W Main St,"South Vienna, Ohio  45369-9753",(937) 568-4765,Theodore F. Williams,6-8,Open,Effective,4,7,376,94.1,95.1
000137,Northridge Middle School,046250,Northeastern,Clark,4445 Ridgewood Rd E,"Springfield, Ohio  45503-5933",(937) 399-2852,Sharon M. Beck,6-8,Open,Effective,5,7,518,95.7,93.8
000138,Pathway School of Discovery,000138,Pathway School of Discovery,,173 Avondale Dr,"Dayton, Ohio  45404-2123",(937) 235-5498,Susan L. Kyllo,K-7,Open,Continuous Improvement,3,12,526,94.5,83.9
000139,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,,1712 Duck Creek Rd,"Cincinnati, Ohio  45207-1644",(513) 751-5555,Mary G. Cann,K-7,Open,Academic Emergency,0,12,412,88.6,57.5
000140,Victory Academy of Toledo,000140,Victory Academy of Toledo,,3319 Nebraska Ave,"Toledo, Ohio  43607-2819",(419) 534-2304,,"K,1-8,SN",Open,Academic Emergency,0,3,75,90.6,54.4
000141,Addaville Elementary School,065680,Gallia County,Gallia,1333 Brick School Rd,"Gallipolis, Ohio  45631-8782",(740) 367-7283,Silas Johnson,K-4,Open,Excellent,6,6,201,94.0,102.8
000143,George A. Phillips Academy,000143,George A. Phillips Academy,,3648 Victory Ave,"Toledo, Ohio  43607-2564",(419) 534-4272,,K-8,Open,Academic Watch,1,14,278,94.8,61.9
000158,Addison Elementary School,050120,Brookfield,Trumbull,900 Judson Rd,"Masury, Ohio  44438-1221",(330) 448-3005,Debra M. Gratz,3-4,Open,Excellent,6,6,176,96.3,99.6
000162,Newark Digital Academy,044453,Newark,Licking,255 Woods Ave,"Newark, Ohio  43055-4436",(740) 328-2022,,K-12,Open,Continuous Improvement,0,1,76,92.4,84
000174,Meredith Hitchens Elementary School,047399,Three Rivers Local Schools,Hamilton,190 Main St,"Addyston, Ohio  45001-0521",(513) 467-3220,Donald G. Larrick,K-1,Closed,NC,1,1,231,95.1,30
000177,Fairland West Elementary School,047936,Fairland,Lawrence,110 Township Road 1125,"Proctorville, Ohio  45669-8519",(740) 886-3150,Mary T. Cooper-Johnson,3-5,Open,Excellent,7,8,409,96.1,100.3
000178,Early Childhood Center,044545,North Royalton,Cuyahoga,9543 Broadview Road,"Broadview, Ohio  44147",(440) 582-9140,Richard W. Evans,"K,P",Open,NC,1,1,292,97.6,
000187,Centerburg Middle School,047829,Centerburg,Knox,3782 Columbus Road,"Centerburg, Ohio  43011",(740) 625-6055,Michael Hebenthal,6-8,Open,Effective,4,7,284,94.2,94.1
000190,Buckeye West Elementary School,047787,Buckeye Local Schools,Jefferson,243 N Mill St,"Adena, Ohio  43901-7992",(740) 546-3413,Ronald A. Ignac,K-5,Open,Effective,6,8,240,95.6,94.8
000195,Hope Academy East Campus,000195,Hope Academy East Campus,,15720 Kipling Ave,"Cleveland, Ohio  44110-3105",(216) 383-1214,Lee A. Lazar,K-12,Open,Academic Watch,1,14,429,94.3,66.9
000196,Early College Academy,043844,Dayton,Montgomery,300 College Park Ave,"Dayton, Ohio  45469-0001",(937) 229-5990,Judy A. Hennessey,9-12,Open,Excellent,11,11,217,96.2,102.6
000197,Hamilton Local Digital Academy,000197,Hamilton Local Digital Academy,,1055 Rathmell Rd,"Columbus, Ohio  43207-4742",(614) 554-5598,,K-12,Open,NC,0,0,75,--,0
000208,Adena High School,049494,Adena,Ross,3367 County Road 550,"Frankfort, Ohio  45628-9503",(740) 998-2313,Michael M. Francis,9-12,Open,Effective,9,12,398,94.9,99.3
000222,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,,1546 Dartford Rd,"Maumee, Ohio  43537-1374",(419) 868-9885,,"K,1-8,SN",Open,Academic Watch,1,14,146,94.1,74.7
